Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.475964,0.593595,0.467588,0.535435,0.535435,69996800
2017-11-10,0.529091,0.562467,0.459485,0.504601,0.504601,44756700
2017-11-11,0.501986,0.621817,0.497991,0.621817,0.621817,42375200
2017-11-12,0.626080,0.636028,0.508265,0.593716,0.593716,44517800
2017-11-13,0.594010,0.652501,0.573934,0.591634,0.591634,37718000
2017-11-14,0.586061,0.618325,0.538290,0.610332,0.610332,33932000
2017-11-15,0.610165,0.785823,0.610165,0.785823,0.785823,87041504
2017-11-16,0.792688,0.893702,0.713337,0.823941,0.823941,132320000
2017-11-17,0.830897,0.875845,0.731393,0.792462,0.792462,102001000
2017-11-18,0.791203,0.848357,0.752962,0.823032,0.823032,57802400
2017-11-19,0.816643,0.878973,0.808990,0.864638,0.864638,61681300
2017-11-20,0.862672,0.992344,0.858567,0.966548,0.966548,92042896
2017-11-21,0.965610,0.985799,0.776513,0.888499,0.888499,123514000
2017-11-22,0.889204,0.957121,0.854097,0.899570,0.899570,69568704
2017-11-23,0.897425,0.915350,0.789444,0.793487,0.793487,64619700
2017-11-24,0.793492,0.796914,0.687301,0.786914,0.786914,113159000
2017-11-25,0.787730,0.853820,0.718574,0.806117,0.806117,64910500
2017-11-26,0.804621,0.841932,0.763788,0.841932,0.841932,47779300
2017-11-27,0.844828,1.098130,0.799566,1.039370,1.039370,174455008
2017-11-28,1.044830,1.504460,1.026530,1.504460,1.504460,465727008
2017-11-29,1.481190,1.559240,1.132790,1.247870,1.247870,294702016
2017-11-30,1.273850,1.386580,1.125890,1.326650,1.326650,179224000
2017-12-01,1.309370,1.492560,1.230230,1.445760,1.445760,141192000
2017-12-02,1.420670,1.449470,1.346470,1.435150,1.435150,115656000
2017-12-03,1.440600,2.024620,1.433470,1.881560,1.881560,401417984
2017-12-04,1.894230,2.980620,1.894230,2.764520,2.764520,1090620032
2017-12-05,2.798370,3.972780,2.445400,3.840800,3.840800,1417379968
2017-12-06,3.811280,5.545880,3.655320,4.355640,4.355640,2126969984
2017-12-07,4.467010,4.542580,3.103770,4.144800,4.144800,1260950016
2017-12-08,4.142000,5.011730,3.625370,5.011730,5.011730,928041984
2017-12-09,5.047480,5.282140,4.249320,4.682090,4.682090,674566016
2017-12-10,4.657750,4.657750,3.766640,4.130060,4.130060,601040000
2017-12-11,4.142030,4.583900,4.123790,4.267400,4.267400,409780000
2017-12-12,4.264340,5.033120,4.177810,4.715310,4.715310,679345984
2017-12-13,4.717560,4.750970,3.773690,4.088120,4.088120,498435008
2017-12-14,4.058570,4.242260,3.377150,3.784040,3.784040,568923008
2017-12-15,3.773870,4.063620,3.365460,3.904210,3.904210,427329984
2017-12-16,3.912940,4.071750,3.480780,3.628940,3.628940,285374016
2017-12-17,3.647380,4.036310,3.482550,3.929150,3.929150,354390016
2017-12-18,3.949370,4.362550,3.653890,4.237350,4.237350,447675008
2017-12-19,4.243990,5.690020,3.881210,5.366330,5.366330,1117890048
2017-12-20,5.371050,5.522110,4.689320,5.089530,5.089530,611582016
2017-12-21,5.080320,5.506150,4.861360,5.029880,5.029880,434568000
2017-12-22,5.076280,5.107960,2.799480,3.447730,3.447730,826428992
2017-12-23,3.512800,4.211520,3.391490,3.609920,3.609920,236435008
2017-12-24,3.614320,3.644680,2.953770,3.480770,3.480770,278148000
2017-12-25,3.491470,3.805040,3.291780,3.501580,3.501580,172138000
2017-12-26,3.490900,3.822150,3.488390,3.803970,3.803970,178890000
2017-12-27,3.811140,4.484450,3.616440,3.741790,3.741790,297052992
2017-12-28,3.722190,3.754220,3.327480,3.680150,3.680150,217902000
2017-12-29,3.695030,3.891020,3.490640,3.688820,3.688820,187728992
2017-12-30,3.698360,3.723450,3.005800,3.342720,3.342720,245624000
