Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,0.007928,0.007935,0.006916,0.007594,0.007594,330158
2019-10-22,0.007593,0.015731,0.007488,0.015731,0.015731,5577523
2019-10-23,0.015731,0.017925,0.009440,0.017918,0.017918,992886
2019-10-24,0.017897,0.019139,0.013160,0.019045,0.019045,914610
2019-10-25,0.019045,0.019045,0.011634,0.013240,0.013240,405408
2019-10-26,0.013247,0.013860,0.011349,0.011958,0.011958,169041
2019-10-27,0.011958,0.012072,0.008816,0.010846,0.010846,260656
2019-10-28,0.010848,0.013569,0.008997,0.009985,0.009985,233035
2019-10-29,0.009985,0.010417,0.008466,0.009106,0.009106,502512
2019-10-30,0.009111,0.009200,0.008524,0.008990,0.008990,309783
2019-10-31,0.008992,0.012390,0.006247,0.011643,0.011643,487547
2019-11-01,0.011744,0.014238,0.011253,0.011790,0.011790,466490
2019-11-02,0.011790,0.011961,0.009691,0.011342,0.011342,348111
2019-11-03,0.011342,0.011356,0.010283,0.010415,0.010415,96274
2019-11-04,0.010417,0.011869,0.009125,0.010336,0.010336,220630
2019-11-05,0.010336,0.010852,0.009380,0.010123,0.010123,255606
2019-11-06,0.010128,0.010643,0.009324,0.009343,0.009343,86642
2019-11-07,0.009350,0.009638,0.009004,0.009467,0.009467,88023
2019-11-08,0.009465,0.009545,0.008258,0.008613,0.008613,42488
2019-11-09,0.008610,0.008776,0.008104,0.008681,0.008681,52577
2019-11-10,0.008679,0.010816,0.008430,0.009395,0.009395,105718
2019-11-11,0.009395,0.009892,0.008607,0.009251,0.009251,116767
2019-11-12,0.009228,0.009390,0.008698,0.009109,0.009109,55947
2019-11-13,0.009106,0.009301,0.008686,0.008696,0.008696,29255
2019-11-14,0.008697,0.009293,0.008443,0.008462,0.008462,82262
2019-11-15,0.008462,0.009161,0.007238,0.008245,0.008245,21198
2019-11-16,0.008247,0.008248,0.007081,0.007643,0.007643,7536
2019-11-17,0.007643,0.007719,0.007086,0.007526,0.007526,6910
2019-11-18,0.007519,0.007658,0.006567,0.007365,0.007365,7679
2019-11-19,0.007368,0.007777,0.006768,0.006998,0.006998,103222
2019-11-20,0.006998,0.007554,0.005270,0.005875,0.005875,59725
2019-11-21,0.005833,0.006370,0.005110,0.005548,0.005548,30314
2019-11-22,0.005555,0.005970,0.004493,0.004497,0.004497,37106
2019-11-23,0.004498,0.004586,0.002926,0.003920,0.003920,46213
2019-11-24,0.003922,0.004909,0.003808,0.003863,0.003863,29702
2019-11-25,0.003854,0.003899,0.002994,0.003026,0.003026,260
2019-11-26,0.003027,0.003240,0.003002,0.003130,0.003130,681
2019-11-27,0.003129,0.004030,0.003103,0.004022,0.004022,13676
2019-11-28,0.004018,0.004245,0.003406,0.003413,0.003413,23320
2019-11-29,0.003414,0.004307,0.003208,0.003661,0.003661,11755
2019-11-30,0.003661,0.004046,0.003207,0.003505,0.003505,44606
2019-12-01,0.003506,0.004147,0.002678,0.003938,0.003938,46473
2019-12-02,0.003937,0.003937,0.002966,0.003195,0.003195,3424
2019-12-03,0.003195,0.003204,0.002706,0.003164,0.003164,16189
2019-12-04,0.003164,0.003553,0.003121,0.003365,0.003365,3080
2019-12-05,0.003365,0.003365,0.003100,0.003310,0.003310,11361
2019-12-06,0.003308,0.003490,0.002987,0.003109,0.003109,14131
2019-12-07,0.003109,0.003267,0.003033,0.003245,0.003245,402
2019-12-08,0.003245,0.003344,0.003147,0.003159,0.003159,78
2019-12-09,0.003160,0.003166,0.002794,0.002815,0.002815,39
2019-12-10,0.002814,0.002830,0.001902,0.002216,0.002216,257
2019-12-11,0.002217,0.002263,0.002210,0.002236,0.002236,183
2019-12-12,0.002236,0.002935,0.002227,0.002833,0.002833,0
2019-12-13,0.002833,0.003507,0.002579,0.003495,0.003495,8
2019-12-14,0.003495,0.003529,0.003462,0.003506,0.003506,0
2019-12-15,0.003506,0.003506,0.003461,0.003496,0.003496,51
2019-12-16,0.003496,0.003557,0.003467,0.003519,0.003519,250
2019-12-17,0.003519,0.006646,0.003516,0.005994,0.005994,298
2019-12-18,0.005994,0.006592,0.005026,0.006329,0.006329,330
2019-12-19,0.006329,0.006612,0.006308,0.006556,0.006556,71
2019-12-20,0.006556,0.006576,0.004815,0.005633,0.005633,1039
2019-12-21,0.005633,0.005640,0.003129,0.003802,0.003802,10373
2019-12-22,0.003697,0.004718,0.003240,0.003909,0.003909,17204
2019-12-23,0.003909,0.003913,0.002578,0.003209,0.003209,14067
2019-12-24,0.003447,0.003484,0.002642,0.003418,0.003418,13766
2019-12-25,0.003418,0.003422,0.002920,0.002943,0.002943,12992
2019-12-26,0.002946,0.003224,0.002026,0.002688,0.002688,13952
2019-12-27,0.002688,0.003117,0.002436,0.002668,0.002668,13686
2019-12-28,0.002668,0.003016,0.002626,0.002977,0.002977,12539
2019-12-29,0.002977,0.003062,0.002701,0.002885,0.002885,7058
2019-12-30,0.002884,0.003835,0.002574,0.002780,0.002780,7427
2019-12-31,0.002754,0.002797,0.002566,0.002720,0.002720,10923
2020-01-01,0.002720,0.002723,0.002568,0.002586,0.002586,10081
2020-01-02,0.002577,0.002730,0.002545,0.002562,0.002562,9022
2020-01-03,0.002576,0.005019,0.002569,0.003332,0.003332,19227
2020-01-04,0.003332,0.005013,0.003328,0.003702,0.003702,16011
2020-01-05,0.003702,0.003832,0.002847,0.003357,0.003357,15862
2020-01-06,0.003519,0.003667,0.003310,0.003443,0.003443,14199
2020-01-07,0.003443,0.003617,0.003320,0.003550,0.003550,14399
2020-01-08,0.003550,0.003796,0.003376,0.003563,0.003563,17807
2020-01-09,0.003695,0.003780,0.003456,0.003770,0.003770,15084
2020-01-10,0.003764,0.003771,0.003462,0.003634,0.003634,14094
2020-01-11,0.003637,0.003646,0.002886,0.002944,0.002944,12456
2020-01-12,0.002933,0.003108,0.002568,0.002842,0.002842,12497
2020-01-13,0.002838,0.003616,0.002838,0.003527,0.003527,15085
2020-01-14,0.003526,0.003804,0.003238,0.003435,0.003435,10729
2020-01-15,0.003388,0.003784,0.003342,0.003580,0.003580,17999
2020-01-16,0.003637,0.004488,0.003288,0.003576,0.003576,21311
2020-01-17,0.003592,0.003705,0.002896,0.003310,0.003310,19822
2020-01-18,0.003282,0.003694,0.002910,0.003415,0.003415,14085
2020-01-19,0.003408,0.004299,0.003365,0.003857,0.003857,15724
2020-01-20,0.003857,0.004300,0.003708,0.004193,0.004193,17183
2020-01-21,0.004193,0.004205,0.003723,0.003971,0.003971,15669
2020-01-22,0.004043,0.004197,0.003906,0.004183,0.004183,17489
2020-01-23,0.004183,0.004189,0.003951,0.004098,0.004098,16299
2020-01-24,0.004098,0.004191,0.003955,0.004186,0.004186,16105
2020-01-25,0.004188,0.004197,0.003984,0.004188,0.004188,16509
2020-01-26,0.004188,0.004206,0.003971,0.004134,0.004134,15012
2020-01-27,0.004010,0.004162,0.003720,0.003829,0.003829,15131
2020-01-28,0.003838,0.003962,0.003781,0.003873,0.003873,10911
2020-01-29,0.003873,0.003935,0.003723,0.003748,0.003748,11096
2020-01-30,0.003790,0.003898,0.003741,0.003857,0.003857,14418
2020-01-31,0.003850,0.003998,0.003743,0.003928,0.003928,14797
2020-02-01,0.003924,0.003978,0.003768,0.003811,0.003811,12107
2020-02-02,0.003785,0.004536,0.003600,0.003609,0.003609,13031
2020-02-03,0.003609,0.003917,0.003598,0.003713,0.003713,14412
2020-02-04,0.003713,0.003811,0.002757,0.003352,0.003352,13958
2020-02-05,0.003197,0.003807,0.002592,0.003232,0.003232,13565
2020-02-06,0.003232,0.003277,0.002640,0.002992,0.002992,11957
2020-02-07,0.002897,0.002996,0.002600,0.002643,0.002643,10916
2020-02-08,0.002713,0.002775,0.002309,0.002385,0.002385,9677
2020-02-09,0.002385,0.002402,0.000502,0.000502,0.000502,0
2020-02-10,0.000502,0.002402,0.000502,0.001910,0.001910,2537
2020-02-11,0.001693,0.002082,0.001685,0.001952,0.001952,7434
2020-02-12,0.001831,0.002067,0.001806,0.001943,0.001943,7449
2020-02-13,0.001943,0.002047,0.001551,0.001752,0.001752,6895
2020-02-14,0.001817,0.001849,0.001660,0.001728,0.001728,6593
2020-02-15,0.001728,0.001840,0.001717,0.001722,0.001722,6618
2020-02-16,0.001721,0.001916,0.001718,0.001858,0.001858,7791
2020-02-17,0.001872,0.001916,0.001735,0.001759,0.001759,7195
2020-02-18,0.001752,0.001767,0.001390,0.001403,0.001403,6502
2020-02-19,0.001402,0.001765,0.001212,0.001402,0.001402,6400
2020-02-20,0.001407,0.001728,0.001406,0.001695,0.001695,6648
2020-02-21,0.001686,0.001702,0.001591,0.001645,0.001645,6243
2020-02-22,0.001644,0.001664,0.001418,0.001598,0.001598,6291
2020-02-23,0.001598,0.001662,0.001429,0.001625,0.001625,6539
2020-02-24,0.001602,0.001660,0.001421,0.001558,0.001558,5907
2020-02-25,0.001560,0.001670,0.001305,0.001308,0.001308,5736
2020-02-26,0.001309,0.001540,0.001306,0.001352,0.001352,4464
2020-02-27,0.001330,0.001386,0.001020,0.001185,0.001185,4847
2020-02-28,0.001249,0.001579,0.000802,0.001000,0.001000,4201
2020-02-29,0.000954,0.001194,0.000924,0.001192,0.001192,4815
2020-03-01,0.001191,0.001192,0.001000,0.001135,0.001135,4555
2020-03-02,0.001118,0.001187,0.001065,0.001118,0.001118,4437
2020-03-03,0.001108,0.001182,0.001000,0.001141,0.001141,4385
2020-03-04,0.001084,0.001154,0.001049,0.001151,0.001151,3998
2020-03-05,0.001151,0.001184,0.001001,0.001037,0.001037,4222
2020-03-06,0.001037,0.001094,0.000950,0.001052,0.001052,4272
2020-03-07,0.001042,0.001086,0.000819,0.000901,0.000901,3562
2020-03-08,0.000901,0.001017,0.000872,0.000939,0.000939,3718
2020-03-09,0.000940,0.001092,0.000899,0.000928,0.000928,3517
2020-03-10,0.000920,0.001085,0.000915,0.001049,0.001049,4078
2020-03-11,0.001031,0.001694,0.000994,0.001631,0.001631,8740
2020-03-12,0.001645,0.001685,0.000946,0.001301,0.001301,5087
2020-03-13,0.001301,0.001330,0.000889,0.000920,0.000920,2308
2020-03-14,0.000919,0.001166,0.000895,0.000901,0.000901,21
2020-03-15,0.000901,0.001455,0.000901,0.001035,0.001035,1186
2020-03-16,0.001033,0.001265,0.001027,0.001211,0.001211,3
2020-03-17,0.001209,0.001222,0.000193,0.000196,0.000196,99
2020-03-18,0.000195,0.000202,0.000194,0.000199,0.000199,0
2020-03-19,0.000199,0.000199,0.000199,0.000199,0.000199,0
2020-03-20,0.000199,0.000602,0.000199,0.000240,0.000240,19
2020-03-21,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-03-22,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-03-23,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-03-24,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-03-25,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-03-26,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-03-27,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-03-28,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-03-29,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-03-30,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-03-31,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-01,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-02,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-03,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-04,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-05,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-06,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-07,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-08,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-09,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-10,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-11,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-12,0.000240,0.000240,0.000240,0.000240,0.000240,0
2020-04-13,0.000240,0.000292,0.000240,0.000289,0.000289,4
2020-04-14,0.000289,0.000348,0.000289,0.000345,0.000345,106
2020-04-15,0.000345,0.000347,0.000344,0.000346,0.000346,0
2020-04-16,0.000346,0.000346,0.000346,0.000346,0.000346,0
2020-04-17,0.000346,0.000346,0.000346,0.000346,0.000346,0
2020-04-18,0.000346,0.000346,0.000346,0.000346,0.000346,0
2020-04-19,0.000346,0.000346,0.000346,0.000346,0.000346,0
2020-04-20,0.000346,0.000346,0.000346,0.000346,0.000346,0
2020-04-21,0.000346,0.000346,0.000346,0.000346,0.000346,0
2020-04-22,0.000346,0.000346,0.000224,0.000246,0.000246,16210
2020-04-23,0.000244,0.000756,0.000199,0.000370,0.000370,102428
2020-04-24,0.000395,0.000774,0.000212,0.000374,0.000374,98022
2020-04-25,0.000426,0.000775,0.000204,0.000513,0.000513,68510
2020-04-26,0.000471,0.000771,0.000205,0.000607,0.000607,79892
2020-04-27,0.000607,0.000770,0.000218,0.000667,0.000667,63450
2020-04-28,0.000664,0.000773,0.000217,0.000593,0.000593,86169
2020-04-29,0.000591,0.000663,0.000260,0.000466,0.000466,60724
2020-04-30,0.000464,0.000665,0.000260,0.000262,0.000262,52558
2020-05-01,0.000262,0.000760,0.000259,0.000673,0.000673,97297
2020-05-02,0.000672,0.000763,0.000260,0.000691,0.000691,85833
2020-05-03,0.000682,0.000761,0.000262,0.000408,0.000408,94997
2020-05-04,0.000407,0.000762,0.000262,0.000524,0.000524,73173
2020-05-05,0.000505,0.000761,0.000261,0.000747,0.000747,62389
2020-05-06,0.000746,0.000755,0.000264,0.000356,0.000356,60421
2020-05-07,0.000356,0.000753,0.000258,0.000749,0.000749,86339
2020-05-08,0.000749,0.000755,0.000260,0.000574,0.000574,80376
2020-05-09,0.000603,0.000753,0.000259,0.000738,0.000738,67585
2020-05-10,0.000749,0.000783,0.000283,0.000602,0.000602,75956
2020-05-11,0.000575,0.000762,0.000204,0.000620,0.000620,93278
2020-05-12,0.000620,0.001046,0.000203,0.000233,0.000233,76671
2020-05-13,0.000213,0.000762,0.000212,0.000254,0.000254,70453
2020-05-14,0.000254,0.000761,0.000216,0.000609,0.000609,94090
2020-05-15,0.000622,0.000768,0.000258,0.000317,0.000317,71423
2020-05-16,0.000299,0.000692,0.000258,0.000281,0.000281,92236
2020-05-17,0.000265,0.000940,0.000257,0.000359,0.000359,59873
2020-05-18,0.000368,0.000461,0.000281,0.000312,0.000312,39273
2020-05-19,0.000322,0.000459,0.000305,0.000439,0.000439,29864
2020-05-20,0.000451,0.000463,0.000332,0.000386,0.000386,22444
2020-05-21,0.000390,0.000458,0.000313,0.000390,0.000390,26752
2020-05-22,0.000395,0.000457,0.000341,0.000347,0.000347,17029
2020-05-23,0.000346,0.000399,0.000281,0.000381,0.000381,28771
2020-05-24,0.000383,0.000401,0.000285,0.000346,0.000346,23217
2020-05-25,0.000344,0.000398,0.000285,0.000378,0.000378,21515
2020-05-26,0.000386,0.000398,0.000287,0.000363,0.000363,16365
2020-05-27,0.000363,0.000400,0.000297,0.000318,0.000318,13261
2020-05-28,0.000312,0.000399,0.000301,0.000350,0.000350,43784
2020-05-29,0.000350,0.000386,0.000294,0.000297,0.000297,11656
2020-05-30,0.000296,0.000355,0.000280,0.000325,0.000325,14665
2020-05-31,0.000316,0.000349,0.000279,0.000295,0.000295,8701
2020-06-01,0.000291,0.000325,0.000279,0.000301,0.000301,9840
2020-06-02,0.000301,0.000358,0.000280,0.000316,0.000316,10646
2020-06-03,0.000316,0.000345,0.000281,0.000296,0.000296,9689
2020-06-04,0.000300,0.000325,0.000279,0.000316,0.000316,8866
