Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.193797,0.221762,0.189496,0.220927,0.220927,7388760
2017-11-10,0.221480,0.235801,0.185654,0.192903,0.192903,10625300
2017-11-11,0.192005,0.208632,0.184363,0.192428,0.192428,6940500
2017-11-12,0.191179,0.191179,0.165319,0.180406,0.180406,12126100
2017-11-13,0.180876,0.203314,0.180023,0.192662,0.192662,7806090
2017-11-14,0.192122,0.195692,0.187637,0.194469,0.194469,7941780
2017-11-15,0.195403,0.200809,0.193040,0.193879,0.193879,6978990
2017-11-16,0.194276,0.211213,0.191441,0.196787,0.196787,16058700
2017-11-17,0.196707,0.198684,0.189507,0.192635,0.192635,8216410
2017-11-18,0.193471,0.196701,0.190190,0.196271,0.196271,7023070
2017-11-19,0.195153,0.206570,0.194297,0.201947,0.201947,8200280
2017-11-20,0.201814,0.219343,0.200439,0.213041,0.213041,13657600
2017-11-21,0.212540,0.214654,0.199799,0.202712,0.202712,9636650
2017-11-22,0.203437,0.207591,0.200102,0.203891,0.203891,6838830
2017-11-23,0.204135,0.205990,0.199126,0.201437,0.201437,8567770
2017-11-24,0.201313,0.209309,0.198506,0.209109,0.209109,7556740
2017-11-25,0.209116,0.220652,0.207381,0.218506,0.218506,10943300
2017-11-26,0.218241,0.221228,0.208544,0.213886,0.213886,12589900
2017-11-27,0.214011,0.226282,0.212362,0.226282,0.226282,12795400
2017-11-28,0.226620,0.256873,0.226511,0.248682,0.248682,35746900
2017-11-29,0.257880,0.268690,0.210000,0.218286,0.218286,33439400
2017-11-30,0.218399,0.241916,0.210180,0.226677,0.226677,16258700
2017-12-01,0.225486,0.239571,0.214192,0.239571,0.239571,12371200
2017-12-02,0.239910,0.259270,0.239276,0.252322,0.252322,23297000
2017-12-03,0.251818,0.285787,0.249055,0.275915,0.275915,44340300
2017-12-04,0.277127,0.288380,0.265620,0.285884,0.285884,19193300
2017-12-05,0.285916,0.309784,0.274161,0.301329,0.301329,27918500
2017-12-06,0.299700,0.299700,0.259649,0.270295,0.270295,29788400
2017-12-07,0.271419,0.275660,0.230922,0.236283,0.236283,30563700
2017-12-08,0.235038,0.656789,0.219179,0.639449,0.639449,267451008
2017-12-09,0.684188,0.684188,0.385252,0.445482,0.445482,211103008
2017-12-10,0.444702,0.444702,0.334256,0.393966,0.393966,77311800
2017-12-11,0.393920,0.504022,0.393920,0.490530,0.490530,71627104
2017-12-12,0.495342,0.574211,0.461091,0.534018,0.534018,106068000
2017-12-13,0.529258,0.556306,0.499614,0.523858,0.523858,56148600
2017-12-14,0.535965,0.616128,0.515254,0.610045,0.610045,87375200
2017-12-15,0.601422,0.610192,0.503800,0.592682,0.592682,69296200
2017-12-16,0.587655,0.716328,0.578899,0.657999,0.657999,99889000
2017-12-17,0.656408,0.747824,0.644132,0.687827,0.687827,83063904
2017-12-18,0.686663,0.846193,0.684549,0.846193,0.846193,114759000
2017-12-19,0.851390,1.060720,0.851390,0.942962,0.942962,242843008
2017-12-20,0.941401,1.043330,0.815750,0.918996,0.918996,119243000
2017-12-21,0.949966,1.051120,0.913511,0.998102,0.998102,112835000
2017-12-22,1.011220,1.033790,0.592709,0.816177,0.816177,187780992
2017-12-23,0.836646,0.997663,0.820264,0.927166,0.927166,77666400
2017-12-24,0.940283,1.044020,0.787298,1.044020,1.044020,98134096
2017-12-25,1.042080,1.139050,0.945585,1.008600,1.008600,122425000
2017-12-26,0.999341,1.006910,0.925547,0.988380,0.988380,65543300
2017-12-27,0.983616,0.994182,0.909545,0.944464,0.944464,53708400
2017-12-28,0.944310,0.952824,0.841534,0.909741,0.909741,52492700
2017-12-29,0.912620,1.056410,0.890231,1.055870,1.055870,105782000
2017-12-30,1.047500,1.047500,0.893058,0.926883,0.926883,73225296
2017-12-31,0.917415,1.080920,0.909489,1.034050,1.034050,69870096
2018-01-01,1.035030,1.077300,1.001020,1.041370,1.041370,58202800
2018-01-02,1.041660,1.196800,1.034600,1.160180,1.160180,108186000
2018-01-03,1.148180,1.795750,1.148180,1.790280,1.790280,265016000
2018-01-04,1.835580,2.091880,1.537440,1.644810,1.644810,332371008
2018-01-05,1.688400,1.808040,1.511330,1.591790,1.591790,175192000
2018-01-06,1.579630,1.720940,1.475540,1.654410,1.654410,99451000
2018-01-07,1.655420,1.914910,1.626020,1.842720,1.842720,123173000
2018-01-08,1.828220,1.828220,1.451960,1.653480,1.653480,81479000
2018-01-09,1.671910,1.724010,1.470900,1.540400,1.540400,75343696
2018-01-10,1.545980,1.547930,1.310290,1.447390,1.447390,92956096
2018-01-11,1.449280,1.543990,1.220880,1.313010,1.313010,93279400
